1. Hugo Sochůrek | Czech Republic | 18岁 | Sparta Prague | uid=2000485504
2. Gilberto Mora | Mexico | 17岁 | Tijuana | uid=2000496104
3. Khulumani Ndamane | South Africa | 22岁 | Mamelodi Sundowns | uid=2000345812
4. Mladen Jurkas | Bosnia and Herzegovina | 18岁 | Borac Banja Luka | uid=2000464677
5. Kerim Alajbegović | Bosnia and Herzegovina | 18岁 | Red Bull Salzburg | uid=2000330855
6. Issa Laye | Qatar | 28岁 | Al-Arabi | uid=2000399569
7. Tahsin Jamshid | Qatar | 19岁 | Al-Duhail | uid=2000368965
8. Mohamed Manai | Qatar | 23岁 | Al-Shamal | uid=
9. Woodensky Pierre | Haiti | 21岁 | Violette | uid=
10. Ayyoub Bouaddi | Morocco | 18岁 | Lille | uid=2000381365
11. Yan Diomande | Ivory Coast | 19岁 | RB Leipzig | uid=2000311833
12. Christ Inao Oulaï | Ivory Coast | 20岁 | Trabzonspor | uid=2000381116
13. Kento Shiogai | Japan | 21岁 | VfL Wolfsburg | uid=2000329424
14. Mouhib Chamakh | Tunisia | 24岁 | Club Africain | uid=2000123415
15. Rayan Elloumi | Tunisia | 18岁 | Vancouver Whitecaps FC | uid=2000476111
16. Hamza Abdelkarim | Egypt | 18岁 | Barcelona B | uid=2000402287
17. Ali Jasim | Iraq | 22岁 | Al-Najma | uid=
18. Achref Abada | Algeria | 26岁 | USM Alger | uid=2000379918
19. Abdallah Nasib | Jordan | 32岁 | Al-Zawraa | uid=
20. Husam Abu Dahab | Jordan | 26岁 | Al-Faisaly | uid=
21. Mohammad Abu Zrayq | Jordan | 28岁 | Raja Casablanca | uid=
22. Ihsan Haddad | Jordan | 32岁 | Al-Hussein | uid=
23. Mohammad Al-Dawoud | Jordan | 34岁 | Al-Wehdat | uid=
24. Bekhruz Karimov | Uzbekistan | 18岁 | Surkhon Termiz | uid=
25. Caleb Yirenkyi | Ghana | 20岁 | Nordsjælland | uid=2000339863
